			Lead Left	Lead Right
-------------------------------------------
DIPS
1.	 84.7 	 C0 - 1.5 mA	 C1 - 1.5 mA 	 (0.73 / 1.00) 
2.	 83.4 	 C1 - 5.5 mA	 C3 - 1.5 mA 	 (0.85 / 0.74) 
-------------------------------------------
1.	 84.7 	 C0 - 1.5 mA	 C1 - 1.5 mA 	 (0.73 / 1.00) 
2.	 84.6 	 C0 - 1.5 mA	 C2 - 1.5 mA 	 (0.73 / 0.99) 
3.	 84.4 	 C0 - 1.5 mA	 C3 - 1.5 mA 	 (0.73 / 0.74) 
4.	 84.3 	 C0 - 2.0 mA	 C1 - 1.5 mA 	 (0.69 / 1.00) 
5.	 84.1 	 C0 - 2.0 mA	 C2 - 1.5 mA 	 (0.69 / 0.99) 
6.	 84.0 	 C0 - 2.0 mA	 C3 - 1.5 mA 	 (0.69 / 0.74) 
7.	 83.9 	 C0 - 1.5 mA	 C0 - 1.5 mA 	 (0.73 / 1.00) 
8.	 83.7 	 C0 - 1.5 mA	 C2 - 2.0 mA 	 (0.73 / 0.98) 
9.	 83.5 	 C0 - 2.0 mA	 C0 - 1.5 mA 	 (0.69 / 1.00) 
10.	 83.5 	 C0 - 2.0 mA	 C2 - 2.0 mA 	 (0.69 / 0.98) 
11.	 83.4 	 C1 - 5.5 mA	 C3 - 1.5 mA 	 (0.85 / 0.74) 
12.	 83.4 	 C0 - 2.5 mA	 C1 - 1.5 mA 	 (0.66 / 1.00) 
13.	 83.3 	 C1 - 5.0 mA	 C3 - 1.5 mA 	 (0.87 / 0.74) 
14.	 83.1 	 C1 - 5.5 mA	 C1 - 1.5 mA 	 (0.85 / 1.00) 
15.	 83.1 	 C0 - 2.5 mA	 C2 - 1.5 mA 	 (0.66 / 0.99) 
16.	 83.1 	 C0 - 2.5 mA	 C3 - 1.5 mA 	 (0.66 / 0.74) 
17.	 83.1 	 C1 - 5.5 mA	 C2 - 1.5 mA 	 (0.85 / 0.99) 
18.	 83.0 	 C0 - 4.0 mA	 C3 - 1.5 mA 	 (0.61 / 0.74) 
19.	 83.0 	 C1 - 5.0 mA	 C1 - 1.5 mA 	 (0.87 / 1.00) 
20.	 83.0 	 C0 - 4.0 mA	 C1 - 1.5 mA 	 (0.61 / 1.00) 
21.	 82.9 	 C0 - 3.5 mA	 C1 - 1.5 mA 	 (0.63 / 1.00) 
22.	 82.9 	 C1 - 5.0 mA	 C2 - 1.5 mA 	 (0.87 / 0.99) 
23.	 82.8 	 C0 - 4.0 mA	 C2 - 1.5 mA 	 (0.61 / 0.99) 
24.	 82.8 	 C0 - 3.5 mA	 C3 - 1.5 mA 	 (0.63 / 0.74) 
