			Lead Left	Lead Right
-------------------------------------------
DIPS
1.	 136.0 	 C2 - 5.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
2.	 55.4 	 C3 - 4.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
-------------------------------------------
1.	 138.7 	 C2 - 4.5 mA	 C0 - 2.5 mA 	 (1.00 / 0.30) 
2.	 137.3 	 C2 - 4.0 mA	 C0 - 2.5 mA 	 (1.00 / 0.30) 
3.	 137.2 	 C2 - 4.5 mA	 C0 - 3.0 mA 	 (1.00 / 0.30) 
4.	 137.1 	 C2 - 4.5 mA	 C0 - 3.5 mA 	 (1.00 / 0.30) 
5.	 136.2 	 C2 - 4.5 mA	 C0 - 2.0 mA 	 (1.00 / 0.29) 
6.	 136.0 	 C2 - 5.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
7.	 135.7 	 C2 - 4.0 mA	 C0 - 3.5 mA 	 (1.00 / 0.30) 
8.	 135.7 	 C2 - 4.0 mA	 C0 - 3.0 mA 	 (1.00 / 0.30) 
9.	 135.6 	 C2 - 3.5 mA	 C0 - 2.5 mA 	 (1.00 / 0.30) 
10.	 135.1 	 C2 - 5.0 mA	 C0 - 2.5 mA 	 (1.00 / 0.30) 
11.	 134.3 	 C2 - 4.0 mA	 C0 - 2.0 mA 	 (1.00 / 0.29) 
12.	 134.1 	 C2 - 3.5 mA	 C0 - 3.5 mA 	 (1.00 / 0.30) 
13.	 134.0 	 C2 - 5.0 mA	 C0 - 3.5 mA 	 (1.00 / 0.30) 
14.	 133.9 	 C2 - 5.0 mA	 C0 - 3.0 mA 	 (1.00 / 0.30) 
15.	 133.9 	 C2 - 3.5 mA	 C0 - 3.0 mA 	 (1.00 / 0.30) 
16.	 133.5 	 C2 - 4.5 mA	 C0 - 4.0 mA 	 (1.00 / 0.30) 
17.	 132.8 	 C2 - 5.0 mA	 C0 - 2.0 mA 	 (1.00 / 0.29) 
18.	 132.3 	 C2 - 4.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.99) 
19.	 131.9 	 C2 - 4.5 mA	 C0 - 4.5 mA 	 (1.00 / 0.30) 
20.	 131.7 	 C2 - 3.5 mA	 C0 - 2.0 mA 	 (1.00 / 0.29) 
21.	 131.6 	 C2 - 4.0 mA	 C0 - 4.0 mA 	 (1.00 / 0.30) 
22.	 131.2 	 C2 - 4.5 mA	 C0 - 1.5 mA 	 (1.00 / 0.29) 
23.	 131.2 	 C2 - 5.0 mA	 C0 - 4.0 mA 	 (1.00 / 0.30) 
24.	 131.1 	 C2 - 5.5 mA	 C3 - 1.5 mA 	 (0.99 / 0.99) 
