			3387-Left	3387-Right
-------------------------------------------
DIPS
1.	 106.1 	 C0 - 1.5 mA	 C1 - 3.0 mA 	 (0.90 / 1.00) 
2.	 96.1 	 C1 - 1.5 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
-------------------------------------------
1.	 106.1 	 C0 - 1.5 mA	 C1 - 3.0 mA 	 (0.90 / 1.00) 
2.	 105.1 	 C0 - 1.5 mA	 C1 - 2.0 mA 	 (0.90 / 1.00) 
3.	 104.3 	 C0 - 1.5 mA	 C1 - 3.5 mA 	 (0.90 / 1.00) 
4.	 104.1 	 C1 - 1.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
5.	 103.6 	 C1 - 1.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
6.	 103.2 	 C0 - 1.5 mA	 C1 - 2.5 mA 	 (0.90 / 1.00) 
7.	 100.9 	 C1 - 1.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
8.	 100.7 	 C0 - 1.5 mA	 C1 - 1.5 mA 	 (0.90 / 1.00) 
9.	 100.7 	 C1 - 1.5 mA	 C1 - 4.0 mA 	 (1.00 / 0.99) 
10.	 100.4 	 C0 - 1.5 mA	 C1 - 4.0 mA 	 (0.90 / 0.99) 
11.	 99.8 	 C1 - 2.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
12.	 99.4 	 C1 - 2.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
13.	 99.2 	 C1 - 1.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
14.	 98.5 	 C0 - 2.0 mA	 C1 - 3.5 mA 	 (0.86 / 1.00) 
15.	 98.5 	 C0 - 2.0 mA	 C1 - 3.0 mA 	 (0.86 / 1.00) 
16.	 97.9 	 C1 - 1.5 mA	 C1 - 4.5 mA 	 (1.00 / 0.99) 
17.	 97.9 	 C1 - 2.0 mA	 C1 - 4.0 mA 	 (1.00 / 0.99) 
18.	 97.4 	 C1 - 2.5 mA	 C1 - 3.5 mA 	 (0.99 / 1.00) 
19.	 97.0 	 C0 - 1.5 mA	 C1 - 4.5 mA 	 (0.90 / 0.99) 
20.	 96.6 	 C0 - 1.5 mA	 C2 - 1.5 mA 	 (0.90 / 1.00) 
21.	 96.4 	 C1 - 2.5 mA	 C1 - 3.0 mA 	 (0.99 / 1.00) 
22.	 96.3 	 C0 - 1.5 mA	 C2 - 5.5 mA 	 (0.90 / 1.00) 
23.	 96.1 	 C1 - 1.5 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
24.	 96.0 	 C0 - 2.0 mA	 C1 - 4.0 mA 	 (0.86 / 0.99) 
