			Lead Left	Lead Right
-------------------------------------------
DIPS
1.	 97.8 	 C2 - 2.5 mA	 C3 - 1.5 mA 	 (0.93 / 0.72) 
2.	 82.4 	 C3 - 5.5 mA	 C3 - 1.5 mA 	 (0.95 / 0.72) 
-------------------------------------------
1.	 108.1 	 C1 - 5.5 mA	 C2 - 5.5 mA 	 (0.50 / 0.39) 
2.	 107.1 	 C1 - 5.5 mA	 C2 - 5.0 mA 	 (0.50 / 0.39) 
3.	 106.7 	 C1 - 5.0 mA	 C2 - 5.5 mA 	 (0.51 / 0.39) 
4.	 106.0 	 C1 - 5.5 mA	 C2 - 4.5 mA 	 (0.50 / 0.39) 
5.	 105.7 	 C1 - 5.0 mA	 C2 - 5.0 mA 	 (0.51 / 0.39) 
6.	 105.3 	 C1 - 5.5 mA	 C3 - 1.5 mA 	 (0.50 / 0.72) 
7.	 105.2 	 C1 - 5.5 mA	 C3 - 2.0 mA 	 (0.50 / 0.69) 
8.	 104.7 	 C1 - 5.0 mA	 C2 - 4.5 mA 	 (0.51 / 0.39) 
9.	 104.5 	 C1 - 5.5 mA	 C2 - 4.0 mA 	 (0.50 / 0.39) 
10.	 104.4 	 C1 - 5.5 mA	 C3 - 2.5 mA 	 (0.50 / 0.67) 
11.	 104.1 	 C1 - 5.0 mA	 C3 - 1.5 mA 	 (0.51 / 0.72) 
12.	 103.9 	 C1 - 5.0 mA	 C3 - 2.0 mA 	 (0.51 / 0.69) 
13.	 103.9 	 C1 - 4.5 mA	 C2 - 5.5 mA 	 (0.51 / 0.39) 
14.	 103.2 	 C1 - 5.0 mA	 C2 - 4.0 mA 	 (0.51 / 0.39) 
15.	 103.1 	 C1 - 5.0 mA	 C3 - 2.5 mA 	 (0.51 / 0.67) 
16.	 102.9 	 C1 - 4.5 mA	 C2 - 5.0 mA 	 (0.51 / 0.39) 
17.	 102.8 	 C1 - 5.5 mA	 C1 - 5.5 mA 	 (0.50 / 0.18) 
18.	 102.7 	 C1 - 5.5 mA	 C3 - 3.0 mA 	 (0.50 / 0.66) 
19.	 102.3 	 C1 - 5.5 mA	 C2 - 3.5 mA 	 (0.50 / 0.39) 
20.	 101.8 	 C1 - 4.5 mA	 C2 - 4.5 mA 	 (0.51 / 0.39) 
21.	 101.6 	 C1 - 5.0 mA	 C1 - 5.5 mA 	 (0.51 / 0.18) 
22.	 101.4 	 C1 - 4.5 mA	 C3 - 1.5 mA 	 (0.51 / 0.72) 
23.	 101.4 	 C1 - 4.0 mA	 C2 - 5.5 mA 	 (0.52 / 0.39) 
24.	 101.3 	 C1 - 5.0 mA	 C3 - 3.0 mA 	 (0.51 / 0.66) 
