			Lead Left DEFAULT	Lead Right DEFAULT
-------------------------------------------
DIPS
1.	 109.8 	 C0 - 5.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
2.	 76.4 	 C3 - 1.5 mA	 C3 - 4.0 mA 	 (0.93 / 1.00) 
-------------------------------------------
1.	 109.8 	 C0 - 5.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
2.	 109.6 	 C0 - 5.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
3.	 107.9 	 C0 - 5.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
4.	 107.5 	 C0 - 5.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
5.	 107.3 	 C0 - 5.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
6.	 105.3 	 C0 - 5.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
7.	 104.7 	 C0 - 5.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
8.	 103.9 	 C1 - 4.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
9.	 103.8 	 C1 - 4.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
10.	 103.8 	 C1 - 4.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
11.	 103.3 	 C1 - 4.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
12.	 103.1 	 C0 - 5.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
13.	 103.0 	 C0 - 4.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
14.	 102.7 	 C0 - 4.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
15.	 101.8 	 C1 - 4.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
16.	 100.9 	 C1 - 5.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
17.	 100.8 	 C1 - 4.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
18.	 100.3 	 C0 - 5.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
19.	 100.0 	 C0 - 4.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
20.	 99.9 	 C1 - 5.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
21.	 99.5 	 C1 - 4.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
22.	 99.4 	 C0 - 5.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
23.	 99.1 	 C3 - 1.5 mA	 C0 - 5.5 mA 	 (0.93 / 0.99) 
