			3387-Left	3387-Right
-------------------------------------------
DIPS
1.	 80.4 	 C1 - 1.5 mA	 C0 - 1.5 mA 	 (0.78 / 0.78) 
no DIPSalt.settings found
-------------------------------------------
1.	 92.0 	 C3 - 1.5 mA	 C0 - 1.5 mA 	 (0.00 / 0.78) 
2.	 88.1 	 C3 - 1.5 mA	 C0 - 2.0 mA 	 (0.00 / 0.74) 
3.	 86.4 	 C3 - 2.0 mA	 C0 - 1.5 mA 	 (0.01 / 0.78) 
4.	 84.9 	 C3 - 1.5 mA	 C0 - 2.5 mA 	 (0.00 / 0.71) 
5.	 83.6 	 C3 - 2.0 mA	 C0 - 2.0 mA 	 (0.01 / 0.74) 
6.	 82.5 	 C3 - 2.5 mA	 C0 - 1.5 mA 	 (0.03 / 0.78) 
7.	 81.1 	 C3 - 1.5 mA	 C0 - 3.0 mA 	 (0.00 / 0.70) 
8.	 80.9 	 C3 - 2.0 mA	 C0 - 2.5 mA 	 (0.01 / 0.71) 
9.	 80.6 	 C3 - 2.5 mA	 C0 - 2.0 mA 	 (0.03 / 0.74) 
10.	 80.4 	 C1 - 1.5 mA	 C0 - 1.5 mA 	 (0.78 / 0.78) 
11.	 80.1 	 C3 - 3.0 mA	 C0 - 1.5 mA 	 (0.05 / 0.78) 
12.	 79.6 	 C1 - 1.5 mA	 C0 - 2.0 mA 	 (0.78 / 0.74) 
13.	 78.8 	 C3 - 3.0 mA	 C0 - 2.0 mA 	 (0.05 / 0.74) 
14.	 78.2 	 C3 - 2.5 mA	 C0 - 2.5 mA 	 (0.03 / 0.71) 
15.	 78.0 	 C1 - 1.5 mA	 C0 - 2.5 mA 	 (0.78 / 0.71) 
16.	 77.6 	 C3 - 2.0 mA	 C0 - 3.0 mA 	 (0.01 / 0.70) 
17.	 77.5 	 C1 - 2.0 mA	 C0 - 1.5 mA 	 (0.73 / 0.78) 
18.	 77.2 	 C1 - 2.0 mA	 C0 - 2.0 mA 	 (0.73 / 0.74) 
19.	 77.1 	 C3 - 1.5 mA	 C0 - 3.5 mA 	 (0.00 / 0.68) 
20.	 76.6 	 C3 - 3.0 mA	 C0 - 2.5 mA 	 (0.05 / 0.71) 
21.	 76.1 	 C3 - 1.5 mA	 C1 - 3.5 mA 	 (0.00 / 0.86) 
22.	 75.9 	 C1 - 2.0 mA	 C0 - 2.5 mA 	 (0.73 / 0.71) 
23.	 75.8 	 C1 - 1.5 mA	 C0 - 3.0 mA 	 (0.78 / 0.70) 
24.	 75.7 	 C3 - 1.5 mA	 C1 - 3.0 mA 	 (0.00 / 0.89) 
