			3389-Left	3389-Right
-------------------------------------------
DIPS
1.	 90.4 	 C2 - 5.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
2.	 63.3 	 C3 - 5.5 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
-------------------------------------------
1.	 90.4 	 C2 - 5.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
2.	 90.3 	 C0 - 5.5 mA	 C1 - 4.0 mA 	 (0.64 / 1.00) 
3.	 90.1 	 C0 - 5.5 mA	 C1 - 4.5 mA 	 (0.64 / 1.00) 
4.	 89.9 	 C0 - 5.5 mA	 C1 - 1.5 mA 	 (0.64 / 1.00) 
5.	 89.8 	 C0 - 5.5 mA	 C1 - 3.5 mA 	 (0.64 / 1.00) 
6.	 89.7 	 C0 - 5.5 mA	 C1 - 2.0 mA 	 (0.64 / 1.00) 
7.	 89.6 	 C1 - 5.5 mA	 C1 - 1.5 mA 	 (0.92 / 1.00) 
8.	 89.6 	 C1 - 5.5 mA	 C1 - 4.0 mA 	 (0.92 / 1.00) 
9.	 89.6 	 C0 - 5.5 mA	 C0 - 4.5 mA 	 (0.64 / 1.00) 
10.	 89.5 	 C0 - 5.5 mA	 C0 - 1.5 mA 	 (0.64 / 1.00) 
11.	 89.4 	 C0 - 5.5 mA	 C1 - 3.0 mA 	 (0.64 / 1.00) 
12.	 89.4 	 C0 - 5.0 mA	 C1 - 4.0 mA 	 (0.66 / 1.00) 
13.	 89.4 	 C1 - 5.5 mA	 C1 - 4.5 mA 	 (0.92 / 1.00) 
14.	 89.4 	 C0 - 5.5 mA	 C0 - 5.0 mA 	 (0.64 / 0.99) 
15.	 89.4 	 C1 - 5.5 mA	 C1 - 2.0 mA 	 (0.92 / 1.00) 
16.	 89.3 	 C0 - 5.5 mA	 C1 - 5.0 mA 	 (0.64 / 1.00) 
17.	 89.3 	 C0 - 5.0 mA	 C1 - 4.5 mA 	 (0.66 / 1.00) 
18.	 89.3 	 C0 - 5.5 mA	 C0 - 5.5 mA 	 (0.64 / 0.99) 
19.	 89.3 	 C1 - 5.5 mA	 C0 - 4.5 mA 	 (0.92 / 1.00) 
20.	 89.2 	 C1 - 5.5 mA	 C0 - 1.5 mA 	 (0.92 / 1.00) 
21.	 89.2 	 C1 - 5.5 mA	 C1 - 3.5 mA 	 (0.92 / 1.00) 
22.	 89.1 	 C0 - 5.5 mA	 C1 - 2.5 mA 	 (0.64 / 1.00) 
23.	 89.1 	 C1 - 5.5 mA	 C0 - 5.0 mA 	 (0.92 / 0.99) 
24.	 89.0 	 C2 - 5.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
