			3389-Left	3389-Right
-------------------------------------------
DIPS
1.	 61.5 	 C1 - 1.5 mA	 C0 - 5.5 mA 	 (0.66 / 0.74) 
no DIPSalt.settings found
-------------------------------------------
1.	 83.8 	 C3 - 5.5 mA	 C0 - 5.5 mA 	 (0.20 / 0.74) 
2.	 83.7 	 C3 - 4.5 mA	 C0 - 1.5 mA 	 (0.18 / 0.94) 
3.	 83.0 	 C2 - 5.5 mA	 C0 - 5.5 mA 	 (0.38 / 0.74) 
4.	 82.5 	 C3 - 4.5 mA	 C0 - 5.5 mA 	 (0.18 / 0.74) 
5.	 82.1 	 C2 - 5.0 mA	 C0 - 5.5 mA 	 (0.38 / 0.74) 
6.	 81.6 	 C3 - 4.0 mA	 C0 - 1.5 mA 	 (0.18 / 0.94) 
7.	 81.3 	 C3 - 5.0 mA	 C0 - 5.5 mA 	 (0.20 / 0.74) 
8.	 80.7 	 C3 - 5.5 mA	 C0 - 5.0 mA 	 (0.20 / 0.75) 
9.	 80.6 	 C3 - 4.0 mA	 C0 - 5.5 mA 	 (0.18 / 0.74) 
10.	 80.4 	 C2 - 4.5 mA	 C0 - 5.5 mA 	 (0.38 / 0.74) 
11.	 79.8 	 C2 - 4.0 mA	 C0 - 5.5 mA 	 (0.38 / 0.74) 
12.	 79.5 	 C3 - 4.5 mA	 C0 - 5.0 mA 	 (0.18 / 0.75) 
13.	 79.4 	 C2 - 5.5 mA	 C0 - 5.0 mA 	 (0.38 / 0.75) 
14.	 78.6 	 C2 - 5.0 mA	 C0 - 5.0 mA 	 (0.38 / 0.75) 
15.	 78.4 	 C3 - 5.5 mA	 C0 - 1.5 mA 	 (0.20 / 0.94) 
16.	 78.1 	 C3 - 5.0 mA	 C0 - 5.0 mA 	 (0.20 / 0.75) 
17.	 78.0 	 C2 - 3.5 mA	 C0 - 5.5 mA 	 (0.38 / 0.74) 
18.	 77.7 	 C3 - 4.0 mA	 C0 - 5.0 mA 	 (0.18 / 0.75) 
19.	 77.4 	 C3 - 3.5 mA	 C0 - 5.5 mA 	 (0.17 / 0.74) 
20.	 76.9 	 C2 - 4.5 mA	 C0 - 5.0 mA 	 (0.38 / 0.75) 
21.	 76.9 	 C3 - 4.5 mA	 C1 - 1.5 mA 	 (0.18 / 0.94) 
22.	 76.8 	 C3 - 4.5 mA	 C3 - 2.5 mA 	 (0.18 / 0.57) 
23.	 76.8 	 C3 - 4.5 mA	 C3 - 3.5 mA 	 (0.18 / 0.56) 
24.	 76.8 	 C3 - 4.5 mA	 C3 - 3.0 mA 	 (0.18 / 0.56) 
