			3387-Left	3387-Right
-------------------------------------------
DIPS
1.	 77.1 	 C0 - 5.5 mA	 C3 - 2.0 mA 	 (0.98 / 0.99) 
2.	 73.5 	 C2 - 1.5 mA	 C1 - 4.5 mA 	 (0.98 / 0.63) 
-------------------------------------------
1.	 95.1 	 C3 - 2.5 mA	 C0 - 2.5 mA 	 (0.27 / 0.25) 
2.	 94.9 	 C3 - 2.5 mA	 C0 - 2.0 mA 	 (0.27 / 0.24) 
3.	 94.6 	 C3 - 2.5 mA	 C0 - 3.0 mA 	 (0.27 / 0.27) 
4.	 94.3 	 C3 - 3.0 mA	 C0 - 2.5 mA 	 (0.29 / 0.25) 
5.	 94.2 	 C3 - 2.5 mA	 C0 - 1.5 mA 	 (0.27 / 0.23) 
6.	 94.1 	 C3 - 2.0 mA	 C0 - 2.5 mA 	 (0.25 / 0.25) 
7.	 94.1 	 C3 - 3.0 mA	 C0 - 3.0 mA 	 (0.29 / 0.27) 
8.	 93.9 	 C3 - 2.5 mA	 C0 - 3.5 mA 	 (0.27 / 0.28) 
9.	 93.8 	 C3 - 2.0 mA	 C0 - 2.0 mA 	 (0.25 / 0.24) 
10.	 93.7 	 C3 - 2.0 mA	 C0 - 3.0 mA 	 (0.25 / 0.27) 
11.	 93.7 	 C3 - 3.0 mA	 C0 - 2.0 mA 	 (0.29 / 0.24) 
12.	 93.5 	 C3 - 3.0 mA	 C0 - 3.5 mA 	 (0.29 / 0.28) 
13.	 93.4 	 C0 - 3.0 mA	 C0 - 2.5 mA 	 (1.00 / 0.25) 
14.	 93.3 	 C3 - 2.0 mA	 C0 - 1.5 mA 	 (0.25 / 0.23) 
15.	 93.2 	 C0 - 2.5 mA	 C0 - 2.5 mA 	 (1.00 / 0.25) 
16.	 93.2 	 C0 - 3.0 mA	 C0 - 2.0 mA 	 (1.00 / 0.24) 
17.	 93.1 	 C3 - 2.0 mA	 C0 - 3.5 mA 	 (0.25 / 0.28) 
18.	 92.9 	 C0 - 2.5 mA	 C0 - 2.0 mA 	 (1.00 / 0.24) 
19.	 92.8 	 C0 - 3.0 mA	 C0 - 3.0 mA 	 (1.00 / 0.27) 
20.	 92.5 	 C0 - 3.5 mA	 C0 - 2.5 mA 	 (1.00 / 0.25) 
21.	 92.5 	 C0 - 2.5 mA	 C0 - 3.0 mA 	 (1.00 / 0.27) 
22.	 92.4 	 C0 - 2.0 mA	 C0 - 2.5 mA 	 (1.00 / 0.25) 
23.	 92.3 	 C0 - 3.0 mA	 C0 - 1.5 mA 	 (1.00 / 0.23) 
24.	 92.3 	 C3 - 2.5 mA	 C0 - 4.0 mA 	 (0.27 / 0.28) 
