			LL DEFAULT	LR DEFAULT
-------------------------------------------
DIPS
1.	 92.3 	 C0 - 5.0 mA	 C1 - 3.5 mA 	 (0.90 / 1.00) 
2.	 87.7 	 C2 - 5.5 mA	 C2 - 4.0 mA 	 (0.98 / 1.00) 
-------------------------------------------
1.	 92.3 	 C0 - 5.0 mA	 C1 - 3.5 mA 	 (0.90 / 1.00) 
2.	 91.6 	 C0 - 5.5 mA	 C1 - 3.5 mA 	 (0.89 / 1.00) 
3.	 91.5 	 C1 - 2.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
4.	 91.4 	 C0 - 5.0 mA	 C1 - 3.0 mA 	 (0.90 / 1.00) 
5.	 91.1 	 C2 - 5.5 mA	 C1 - 3.5 mA 	 (0.98 / 1.00) 
6.	 91.1 	 C0 - 4.5 mA	 C1 - 3.5 mA 	 (0.92 / 1.00) 
7.	 90.9 	 C2 - 5.0 mA	 C1 - 3.5 mA 	 (0.99 / 1.00) 
8.	 90.8 	 C0 - 5.5 mA	 C1 - 3.0 mA 	 (0.89 / 1.00) 
9.	 90.7 	 C0 - 5.0 mA	 C1 - 2.5 mA 	 (0.90 / 1.00) 
10.	 90.2 	 C2 - 5.5 mA	 C1 - 3.0 mA 	 (0.98 / 1.00) 
11.	 90.2 	 C0 - 5.5 mA	 C1 - 2.5 mA 	 (0.89 / 1.00) 
12.	 90.0 	 C0 - 4.5 mA	 C1 - 3.0 mA 	 (0.92 / 1.00) 
13.	 89.9 	 C2 - 5.0 mA	 C1 - 3.0 mA 	 (0.99 / 1.00) 
14.	 89.9 	 C2 - 5.5 mA	 C0 - 5.5 mA 	 (0.98 / 1.00) 
15.	 89.7 	 C2 - 5.5 mA	 C1 - 4.0 mA 	 (0.98 / 1.00) 
16.	 89.6 	 C2 - 5.0 mA	 C0 - 5.5 mA 	 (0.99 / 1.00) 
17.	 89.6 	 C0 - 5.0 mA	 C1 - 2.0 mA 	 (0.90 / 1.00) 
18.	 89.5 	 C0 - 4.0 mA	 C1 - 3.5 mA 	 (0.93 / 1.00) 
19.	 89.5 	 C2 - 5.5 mA	 C1 - 2.5 mA 	 (0.98 / 1.00) 
20.	 89.4 	 C2 - 5.0 mA	 C1 - 4.0 mA 	 (0.99 / 1.00) 
21.	 89.4 	 C2 - 5.5 mA	 C0 - 5.0 mA 	 (0.98 / 1.00) 
22.	 89.3 	 C2 - 5.5 mA	 C1 - 5.0 mA 	 (0.98 / 1.00) 
23.	 89.2 	 C0 - 5.5 mA	 C1 - 2.0 mA 	 (0.89 / 1.00) 
