			Lead Left Left_VTA	Lead Right Right_VTA
-------------------------------------------
DIPS
1.	 93.1 	 C3 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
2.	 93.0 	 C1 - 5.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
-------------------------------------------
1.	 93.1 	 C3 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
2.	 93.0 	 C1 - 5.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
3.	 92.3 	 C0 - 3.0 mA	 C3 - 1.0 mA 	 (1.00 / 1.00) 
4.	 90.7 	 C3 - 2.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
5.	 90.6 	 C0 - 3.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
6.	 89.5 	 C3 - 2.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
7.	 88.7 	 C0 - 2.0 mA	 C3 - 1.0 mA 	 (1.00 / 1.00) 
8.	 87.0 	 C2 - 1.0 mA	 C3 - 1.0 mA 	 (1.00 / 1.00) 
9.	 86.8 	 C0 - 2.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
10.	 86.6 	 C3 - 1.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
11.	 86.3 	 C1 - 4.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
12.	 86.1 	 C1 - 5.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
13.	 85.7 	 C2 - 1.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
14.	 85.0 	 C0 - 4.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
15.	 83.7 	 C3 - 1.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
16.	 83.0 	 C3 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
17.	 82.9 	 C3 - 1.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
18.	 82.5 	 C1 - 2.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
19.	 81.8 	 C0 - 1.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
20.	 81.7 	 C1 - 5.0 mA	 C3 - 1.0 mA 	 (1.00 / 1.00) 
21.	 81.6 	 C3 - 3.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
22.	 81.6 	 C3 - 2.0 mA	 C2 - 1.0 mA 	 (1.00 / 1.00) 
23.	 81.3 	 C0 - 3.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
