			3389-Left	3389-Right
-------------------------------------------
DIPS
1.	 100.1 	 C3 - 1.5 mA	 C0 - 5.0 mA 	 (0.90 / 1.00) 
2.	 88.3 	 C3 - 1.5 mA	 C1 - 1.5 mA 	 (0.90 / 1.00) 
-------------------------------------------
1.	 100.1 	 C3 - 1.5 mA	 C0 - 5.0 mA 	 (0.90 / 1.00) 
2.	 98.2 	 C3 - 1.5 mA	 C0 - 4.5 mA 	 (0.90 / 1.00) 
3.	 98.0 	 C3 - 1.5 mA	 C0 - 5.5 mA 	 (0.90 / 1.00) 
4.	 96.5 	 C3 - 2.0 mA	 C0 - 5.0 mA 	 (0.86 / 1.00) 
5.	 94.8 	 C3 - 2.0 mA	 C0 - 5.5 mA 	 (0.86 / 1.00) 
6.	 94.2 	 C3 - 1.5 mA	 C0 - 4.0 mA 	 (0.90 / 1.00) 
7.	 93.8 	 C2 - 1.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
8.	 93.5 	 C3 - 2.0 mA	 C0 - 4.5 mA 	 (0.86 / 1.00) 
9.	 92.3 	 C2 - 1.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
10.	 92.1 	 C0 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
11.	 92.1 	 C0 - 1.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
12.	 91.6 	 C2 - 1.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
13.	 91.5 	 C3 - 2.5 mA	 C0 - 5.0 mA 	 (0.83 / 1.00) 
14.	 90.5 	 C0 - 2.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
15.	 90.5 	 C0 - 2.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
16.	 90.4 	 C0 - 1.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
17.	 90.3 	 C0 - 1.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
18.	 90.3 	 C0 - 2.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
19.	 90.3 	 C3 - 2.5 mA	 C0 - 5.5 mA 	 (0.83 / 1.00) 
20.	 89.1 	 C3 - 2.0 mA	 C0 - 4.0 mA 	 (0.86 / 1.00) 
21.	 88.9 	 C0 - 2.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
22.	 88.6 	 C0 - 2.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
23.	 88.3 	 C3 - 1.5 mA	 C1 - 1.5 mA 	 (0.90 / 1.00) 
24.	 88.1 	 C2 - 1.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
