			3387-Left	3387-Right
-------------------------------------------
DIPS
1.	 90.2 	 C1 - 1.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
2.	 71.3 	 C2 - 1.5 mA	 C2 - 2.5 mA 	 (0.55 / 1.00) 
-------------------------------------------
1.	 90.8 	 C3 - 1.5 mA	 C1 - 5.5 mA 	 (0.00 / 1.00) 
2.	 90.2 	 C1 - 1.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
3.	 89.1 	 C3 - 2.0 mA	 C1 - 5.5 mA 	 (0.02 / 1.00) 
4.	 88.1 	 C0 - 1.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
5.	 87.7 	 C3 - 3.5 mA	 C0 - 5.5 mA 	 (0.07 / 1.00) 
6.	 87.7 	 C3 - 3.0 mA	 C0 - 2.5 mA 	 (0.06 / 1.00) 
7.	 87.6 	 C3 - 3.0 mA	 C0 - 5.5 mA 	 (0.06 / 1.00) 
8.	 87.6 	 C3 - 2.5 mA	 C1 - 5.5 mA 	 (0.03 / 1.00) 
9.	 86.0 	 C3 - 2.5 mA	 C0 - 5.5 mA 	 (0.03 / 1.00) 
10.	 85.8 	 C2 - 1.5 mA	 C0 - 5.5 mA 	 (0.55 / 1.00) 
11.	 85.5 	 C3 - 2.0 mA	 C0 - 5.5 mA 	 (0.02 / 1.00) 
12.	 85.4 	 C3 - 3.0 mA	 C1 - 5.5 mA 	 (0.06 / 1.00) 
13.	 85.4 	 C3 - 1.5 mA	 C0 - 5.5 mA 	 (0.00 / 1.00) 
14.	 85.3 	 C3 - 4.0 mA	 C0 - 5.5 mA 	 (0.09 / 1.00) 
15.	 85.2 	 C3 - 3.5 mA	 C0 - 5.0 mA 	 (0.07 / 1.00) 
16.	 85.2 	 C3 - 3.0 mA	 C0 - 5.0 mA 	 (0.06 / 1.00) 
17.	 85.1 	 C3 - 3.5 mA	 C0 - 2.5 mA 	 (0.07 / 1.00) 
18.	 84.9 	 C3 - 1.5 mA	 C1 - 5.0 mA 	 (0.00 / 1.00) 
19.	 84.9 	 C3 - 2.5 mA	 C0 - 2.5 mA 	 (0.03 / 1.00) 
20.	 84.4 	 C3 - 3.0 mA	 C0 - 2.0 mA 	 (0.06 / 1.00) 
21.	 84.4 	 C3 - 4.5 mA	 C0 - 5.5 mA 	 (0.09 / 1.00) 
22.	 84.1 	 C3 - 3.0 mA	 C0 - 4.5 mA 	 (0.06 / 1.00) 
23.	 84.0 	 C3 - 3.5 mA	 C0 - 4.5 mA 	 (0.07 / 1.00) 
24.	 83.9 	 C0 - 1.5 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
